type,sugar,freeSO2,totalSO2,density,pH,alcohol,quality
1,1.9,11,34,0.9978,3.51,9.4,5
1,2.6,25,67,0.9968,3.2,9.8,5
1,2.3,15,54,0.997,3.26,9.8,5
1,1.9,17,60,0.998,3.16,9.8,6
1,1.9,11,34,0.9978,3.51,9.4,5
1,1.8,13,40,0.9978,3.51,9.4,5
1,1.6,15,59,0.9964,3.3,9.4,5
1,1.2,15,21,0.9946,3.39,10,7
1,2,9,18,0.9968,3.36,9.5,7
1,6.1,17,102,0.9978,3.35,10.5,5
1,1.8,15,65,0.9959,3.28,9.2,5
1,6.1,17,102,0.9978,3.35,10.5,5
1,1.6,16,59,0.9943,3.58,9.9,5
1,1.6,9,29,0.9974,3.26,9.1,5
1,3.8,52,145,0.9986,3.16,9.2,5
1,3.9,51,148,0.9986,3.17,9.2,5
1,1.8,35,103,0.9969,3.3,10.5,7
1,1.7,16,56,0.9968,3.11,9.3,5
1,4.4,6,29,0.9974,3.38,9,4
1,1.8,17,56,0.9969,3.04,9.2,6
1,1.8,29,60,0.9968,3.39,9.4,6
1,2.3,23,71,0.9982,3.52,9.7,5
1,1.6,10,37,0.9966,3.17,9.5,5
1,2.3,9,67,0.9968,3.17,9.4,5
1,2.4,21,40,0.9968,3.43,9.7,6
1,1.4,11,23,0.9955,3.34,9.3,5
1,1.8,4,11,0.9962,3.28,9.5,5
1,1.6,10,37,0.9966,3.17,9.5,5
1,1.9,14,35,0.9972,3.47,9.4,5
1,2,8,16,0.9964,3.38,9.8,6
1,2.4,17,82,0.9958,3.35,10.1,5
1,2.5,22,37,0.9966,3.46,10.6,6
1,2.3,15,113,0.9966,3.17,9.8,5
1,10.7,40,83,0.9993,3.45,9.4,6
1,1.8,13,50,0.9957,3.38,9.2,5
1,5.5,5,18,0.9986,3.4,9.6,6
1,2.4,3,15,0.9975,3.42,10.8,6
1,2.1,13,30,0.9968,3.23,9.7,7
1,1.5,7,19,0.994,3.5,9.8,4
1,5.9,12,87,0.9978,3.33,10.5,5
1,5.9,12,87,0.9978,3.33,10.5,5
1,2.8,17,46,0.9976,3.26,9.3,4
1,2.6,8,14,0.9968,3.21,10.5,6
1,2.2,9,23,0.9968,3.3,10.3,5
1,1.8,5,11,0.9962,3.48,9.5,5
1,2.1,8,65,0.9934,3.9,13.1,4
1,2.2,22,114,0.997,3.25,9.2,5
1,1.6,12,37,0.9969,3.25,9.5,5
